ID,Item,name,duration,log_duration,c_logduration,level ,proficiency,pho_len,c_pho_len,logdice,c_logdice,zpf_total,c_zpf_total,zpf_w1,c_zpf_w1,zpf_w2,c_zpf_w2
47,1,TW148,1.268 ,0.103 ,-0.020 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
48,1,TW149,1.053 ,0.022 ,-0.101 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
49,1,TW150,1.484 ,0.171 ,0.048 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
50,1,TW151,1.409 ,0.149 ,0.026 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
51,1,TW152,NA,NA,NA,1.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
52,1,TW153,1.207 ,0.082 ,-0.041 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
53,1,TW154,1.166 ,0.067 ,-0.056 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
54,1,TW155,1.753 ,0.244 ,0.121 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
55,1,TW156,1.032 ,0.014 ,-0.109 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
56,1,TW157,1.733 ,0.239 ,0.116 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
57,1,TW158,1.161 ,0.065 ,-0.058 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
58,1,TW159,0.633 ,-0.199 ,-0.322 ,4.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
59,1,TW160,1.130 ,0.053 ,-0.070 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
60,1,TW161,1.193 ,0.077 ,-0.046 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
61,1,TW162,1.124 ,0.051 ,-0.072 ,2.000 ,Basic,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
62,1,TW163,1.261 ,0.101 ,-0.022 ,3.000 ,Intermediate,9.000 ,-1.250 ,5.700 ,-0.738 ,2.519 ,-0.396 ,4.516 ,-0.489 ,5.595 ,0.075 
